************************************************************************************************************************************************************************************************************
*    Row   *      nstb *      chan *       row *       col *        pp *     pprow *     ppcol *   qtcrate *    qtslot *    qtcard *    qtchan *   hvboard *    hvchip *    hvchan * hvaddress * cell_type *
************************************************************************************************************************************************************************************************************
*      788 *         3 *         1 *         0 *         0 *         1 *         1 *        16 *         3 *         1 *         0 *         6 *         2 *         3 *         0 *        E0 * small_rus *
*      789 *         3 *         2 *         0 *         1 *         1 *         1 *        15 *         3 *         1 *         1 *         6 *         2 *         3 *         0 *        E2 * small_rus *
*      790 *         3 *         3 *         0 *         2 *         1 *         1 *        14 *         3 *         1 *         2 *         6 *         2 *         3 *         0 *        E4 * small_rus *
*      791 *         3 *         4 *         0 *         3 *         1 *         1 *        13 *         3 *         1 *         3 *         6 *         2 *         3 *         0 *        E6 * small_rus *
*      792 *         3 *         5 *         0 *         4 *         1 *         1 *        12 *         3 *         2 *         0 *         0 *         2 *         0 *         0 *        E0 * small_yal *
*      793 *         3 *         6 *         0 *         5 *         1 *         1 *        11 *         3 *         2 *         0 *         1 *         2 *         0 *         0 *        E4 * small_yal *
*      794 *         3 *         7 *         0 *         6 *         1 *         1 *        10 *         3 *         2 *         0 *         2 *         2 *         0 *         0 *        E8 * small_yal *
*      795 *         3 *         8 *         0 *         7 *         1 *         1 *         9 *         3 *         2 *         0 *         3 *         2 *         0 *         0 *        EC * small_yal *
*      796 *         3 *         9 *         0 *         8 *         1 *         1 *         8 *         3 *         2 *         0 *         4 *         2 *         0 *         0 *        F0 * small_yal *
*      797 *         3 *        10 *         0 *         9 *         1 *         1 *         7 *         3 *         2 *         0 *         5 *         2 *         0 *         0 *        F4 * small_yal *
*      798 *         3 *        11 *         0 *        10 *         1 *         1 *         6 *         3 *         2 *         0 *         6 *         2 *         0 *         0 *        F8 * small_yal *
*      799 *         3 *        12 *         0 *        11 *         1 *         1 *         5 *         3 *         2 *         0 *         7 *         2 *         0 *         0 *        FC * small_yal *
*      800 *         3 *        13 *         1 *         0 *         1 *         2 *        16 *         3 *         1 *         0 *         5 *         2 *         3 *         0 *        EA * small_rus *
*      801 *         3 *        14 *         1 *         1 *         1 *         2 *        15 *         3 *         1 *         1 *         5 *         2 *         3 *         0 *        E8 * small_rus *
*      802 *         3 *        15 *         1 *         2 *         1 *         2 *        14 *         3 *         1 *         2 *         5 *         2 *         3 *         0 *        EC * small_rus *
*      803 *         3 *        16 *         1 *         3 *         1 *         2 *        13 *         3 *         1 *         3 *         5 *         2 *         3 *         0 *        EE * small_rus *
*      804 *         3 *        17 *         1 *         4 *         1 *         2 *        12 *         3 *         2 *         1 *         0 *         2 *         0 *         0 *        E2 * small_yal *
*      805 *         3 *        18 *         1 *         5 *         1 *         2 *        11 *         3 *         2 *         1 *         1 *         2 *         0 *         0 *        E6 * small_yal *
*      806 *         3 *        19 *         1 *         6 *         1 *         2 *        10 *         3 *         2 *         1 *         2 *         2 *         0 *         0 *        EA * small_yal *
*      807 *         3 *        20 *         1 *         7 *         1 *         2 *         9 *         3 *         2 *         1 *         3 *         2 *         0 *         0 *        EE * small_yal *
*      808 *         3 *        21 *         1 *         8 *         1 *         2 *         8 *         3 *         2 *         1 *         4 *         2 *         0 *         0 *        F2 * small_yal *
*      809 *         3 *        22 *         1 *         9 *         1 *         2 *         7 *         3 *         2 *         1 *         5 *         2 *         0 *         0 *        F6 * small_yal *
*      810 *         3 *        23 *         1 *        10 *         1 *         2 *         6 *         3 *         2 *         1 *         6 *         2 *         0 *         0 *        FA * small_yal *
*      811 *         3 *        24 *         1 *        11 *         1 *         2 *         5 *         3 *         2 *         1 *         7 *         2 *         0 *         0 *        FE * small_yal *
*      812 *         3 *        25 *         2 *         0 *         1 *         3 *        16 *         3 *         1 *         0 *         4 *         2 *         3 *         0 *        F0 * small_rus *
*      813 *         3 *        26 *         2 *         1 *         1 *         3 *        15 *         3 *         1 *         1 *         4 *         2 *         3 *         0 *        F2 * small_rus *
*      814 *         3 *        27 *         2 *         2 *         1 *         3 *        14 *         3 *         1 *         2 *         4 *         2 *         3 *         0 *        F4 * small_rus *
*      815 *         3 *        28 *         2 *         3 *         1 *         3 *        13 *         3 *         1 *         3 *         4 *         2 *         3 *         0 *        F6 * small_rus *
*      816 *         3 *        29 *         2 *         4 *         1 *         3 *        12 *         3 *         2 *         2 *         0 *         2 *         0 *         1 *        E0 * small_yal *
*      817 *         3 *        30 *         2 *         5 *         1 *         3 *        11 *         3 *         2 *         2 *         1 *         2 *         0 *         1 *        E4 * small_yal *
*      818 *         3 *        31 *         2 *         6 *         1 *         3 *        10 *         3 *         2 *         2 *         2 *         2 *         0 *         1 *        E8 * small_yal *
*      819 *         3 *        32 *         2 *         7 *         1 *         3 *         9 *         3 *         2 *         2 *         3 *         2 *         0 *         1 *        EC * small_yal *
*      820 *         3 *        33 *         2 *         8 *         1 *         3 *         8 *         3 *         2 *         2 *         4 *         2 *         0 *         1 *        F0 * small_yal *
*      821 *         3 *        34 *         2 *         9 *         1 *         3 *         7 *         3 *         2 *         2 *         5 *         2 *         0 *         1 *        F4 * small_yal *
*      822 *         3 *        35 *         2 *        10 *         1 *         3 *         6 *         3 *         2 *         2 *         6 *         2 *         0 *         1 *        F8 * small_yal *
